Unix Time,Formatted Time,Latitude,Longitude,Altitude,Fix,SIV,Unixtime,RSSI,SNR,Freqerr,Radio State
1741523947.649653,2025-03-09-12-39-07, 52.6682129,-1.5248077,309.5369873,3,5,309, -58.000, 14.2500, 92627.031, 0
1741523947.892583,2025-03-09-12-39-07, 52.6681404,-1.5247909,330.2390137,3,5,330, -53.000, 14.2500, 92652.219, 0
1741523948.1274624,2025-03-09-12-39-08, 52.6680794,-1.5247777,346.4630127,3,5,346, -57.000, 12.5000, 94289.406, 0
1741523948.3546348,2025-03-09-12-39-08, 52.6680222,-1.5247655,362.1390076,3,5,362, -54.000, 12.5000, 92702.594, 0
1741523948.6161761,2025-03-09-12-39-08, 52.6680260,-1.5247669,361.2130127,3,5,362, -49.000, 12.7500, 92727.781, 0
1741523948.9076889,2025-03-09-12-39-08, 52.6680336,-1.5247689,359.1000061,3,5,362, -47.000, 14.5000, 92727.781, 0
1741523949.4020698,2025-03-09-12-39-09, 52.6680183,-1.5247653,362.9479980,3,5,362, -47.000, 12.7500, 92778.156, 0
1741523949.4739752,2025-03-09-12-39-09, 52.6680336,-1.5247676,360.1870117,3,5,362, -49.000, 12.0000, 92752.969, 0
1741523949.6882145,2025-03-09-12-39-09, 52.6683540,-1.5248362,275.2189941,3,6,362, -53.000, 14.7500, 92752.969, 0
1741523949.8466957,2025-03-09-12-39-09, 52.6684837,-1.5248641,241.9080048,3,6,362, -56.000, 13.2500, 92752.969, 0
1741523950.1076105,2025-03-09-12-39-10, 52.6685486,-1.5248786,224.4170074,3,6,362, -49.000, 13.0000, 92752.969, 0
1741523950.3697183,2025-03-09-12-39-10, 52.6685867,-1.5248866,214.6289978,3,6,362, -49.000, 13.0000, 92803.344, 0
1741523950.627468,2025-03-09-12-39-10, 52.6686134,-1.5248929,207.3500061,3,6,362, -48.000, 14.0000, 92828.531, 0
1741523950.945232,2025-03-09-12-39-10, 52.6686287,-1.5248960,202.7870026,3,6,362, -50.000, 14.7500, 92828.531, 0
1741523951.153728,2025-03-09-12-39-11, 52.6686440,-1.5248982,199.8090057,3,6,362, -53.000, 12.7500, 92878.906, 0
1741523951.4866908,2025-03-09-12-39-11, 52.6686516,-1.5248996,197.4040070,3,6,362, -53.000, 14.5000, 92878.906, 0
1741523951.6070993,2025-03-09-12-39-11, 52.6687775,-1.5249703,165.4479980,3,6,362, -53.000, 13.2500, 92904.094, 0
1741523951.857614,2025-03-09-12-39-11, 52.6687775,-1.5250043,167.4380035,3,6,362, -46.000, 13.5000, 92929.281, 0
1741523952.1825745,2025-03-09-12-39-12, 52.6687813,-1.5250272,168.6990051,3,6,362, -45.000, 12.7500, 92954.469, 0
1741523952.414029,2025-03-09-12-39-12, 52.6687813,-1.5250345,169.0989990,3,6,362, -48.000, 12.5000, 92979.656, 0
1741523952.6558254,2025-03-09-12-39-12, 52.6687813,-1.5250365,169.3190002,3,6,362, -47.000, 13.7500, 93030.031, 0
1741523952.8478167,2025-03-09-12-39-12, 52.6687851,-1.5250328,168.9810028,3,6,362, -60.000, 12.7500, 93030.031, 0
1741523953.107151,2025-03-09-12-39-13, 52.6687851,-1.5250431,169.6130066,3,6,362, -49.000, 13.0000, 93055.219, 0
1741523953.410426,2025-03-09-12-39-13, 52.6687851,-1.5250531,170.1329956,3,6,362, -49.000, 13.0000, 93105.594, 0
1741523953.6245952,2025-03-09-12-39-13, 52.6687851,-1.5250515,170.2469940,3,6,362, -45.000, 12.7500, 93155.969, 0
1741523953.9163852,2025-03-09-12-39-13, 52.6687851,-1.5250489,170.2859955,3,6,362, -43.000, 13.0000, 93155.969, 0
1741523954.1375709,2025-03-09-12-39-14, 52.6687851,-1.5250517,170.3200073,3,6,362, -42.000, 13.0000, 93181.156, 0
1741523954.5130084,2025-03-09-12-39-14, 52.6687851,-1.5250623,170.4920044,3,6,362, -46.000, 12.7500, 93231.531, 0
1741523954.6646113,2025-03-09-12-39-14, 52.6687889,-1.5250804,170.5449982,3,6,362, -50.000, 14.0000, 93256.719, 0
1741523954.87576,2025-03-09-12-39-14, 52.6687889,-1.5250731,170.9290009,3,6,362, -50.000, 13.7500, 93256.719, 0
1741523955.091646,2025-03-09-12-39-15, 52.6687889,-1.5250674,170.8750000,3,5,362, -49.000, 13.5000, 93332.281, 0
1741523955.4175007,2025-03-09-12-39-15, 52.6687889,-1.5250660,170.7030029,3,5,362, -53.000, 15.0000, 93332.281, 0
1741523955.6876736,2025-03-09-12-39-15, 52.6687889,-1.5250645,170.4129944,3,5,362, -46.000, 13.5000, 93357.469, 0
1741523955.8883226,2025-03-09-12-39-15, 52.6687851,-1.5250614,170.2559967,3,5,362, -51.000, 13.7500, 93382.656, 0
1741523956.085575,2025-03-09-12-39-16, 52.6687851,-1.5250583,170.0749969,3,5,362, -48.000, 12.7500, 93382.656, 0
1741523956.431744,2025-03-09-12-39-16, 52.6687851,-1.5250551,169.8320007,3,5,362, -51.000, 13.2500, 93357.469, 0
1741523956.7260094,2025-03-09-12-39-16, 52.6687851,-1.5250512,169.6779938,3,5,362, -46.000, 13.5000, 93357.469, 0
1741523957.3079743,2025-03-09-12-39-17, 52.6687851,-1.5250473,169.3860016,3,5,362, -46.000, 12.7500, 93357.469, 0
1741523957.8357882,2025-03-09-12-39-17, 52.6687851,-1.5250436,169.0859985,3,5,362, -46.000, 12.5000, 93357.469, 0
1741523957.9386675,2025-03-09-12-39-17, 52.6687889,-1.5250388,168.9320068,3,5,362, -44.000, 14.7500, 93357.469, 0
1741523958.077437,2025-03-09-12-39-18, 52.6687889,-1.5250347,168.7270050,3,5,362, -49.000, 12.7500, 93382.656, 0
1741523958.1934524,2025-03-09-12-39-18, 52.6687889,-1.5250328,168.6589966,3,5,362, -55.000, 12.5000, 93357.469, 0
1741523958.3133142,2025-03-09-12-39-18, 52.6687889,-1.5250307,168.6569977,3,5,362, -59.000, 13.5000, 93382.656, 0
1741523958.468024,2025-03-09-12-39-18, 52.6687889,-1.5250300,168.4909973,3,5,362, -54.000, 14.2500, 93382.656, 0
1741523958.6202867,2025-03-09-12-39-18, 52.6687889,-1.5250252,168.7140045,3,5,362, -54.000, 12.7500, 93281.906, 0
1741523958.8853369,2025-03-09-12-39-18, 52.6687851,-1.5250188,169.2689972,3,4,362, -58.000, 12.7500, 93256.719, 0
1741523959.144473,2025-03-09-12-39-19, 52.6687851,-1.5250154,169.5449982,3,4,362, -58.000, 13.7500, 93231.531, 0
1741523959.5635157,2025-03-09-12-39-19, 52.6687851,-1.5250148,169.5229950,3,4,362, -52.000, 14.7500, 93181.156, 0
1741523959.91815,2025-03-09-12-39-19, 52.6687851,-1.5250196,168.7290039,3,4,362, -54.000, 12.2500, 93181.156, 0
1741523959.9985979,2025-03-09-12-39-19, 52.6687851,-1.5250211,168.5180054,3,4,362, -51.000, 13.7500, 93206.344, 0
1741523960.091723,2025-03-09-12-39-20, 52.6687851,-1.5250210,168.3090057,3,4,362, -60.000, 15.0000, 93181.156, 0
1741523960.3707387,2025-03-09-12-39-20, 52.6687851,-1.5250216,168.1029968,3,4,362, -52.000, 13.5000, 93181.156, 0
1741523960.6903477,2025-03-09-12-39-20, 52.6687851,-1.5250317,168.2160034,3,5,362, -55.000, 13.5000, 93130.781, 0
1741523960.8952808,2025-03-09-12-39-20, 52.6687851,-1.5250334,168.2010040,3,6,362, -53.000, 12.7500, 93130.781, 0
1741523961.1173463,2025-03-09-12-39-21, 52.6687851,-1.5250340,168.3780060,3,6,362, -63.000, 14.7500, 93105.594, 0
1741523961.441818,2025-03-09-12-39-21, 52.6687851,-1.5250355,168.4839935,3,6,362, -56.000, 15.0000, 93080.406, 0
1741523961.6190526,2025-03-09-12-39-21, 52.6687851,-1.5250376,168.4149933,3,6,362, -53.000, 12.7500, 93105.594, 0
1741523961.8688204,2025-03-09-12-39-21, 52.6687851,-1.5250392,168.4179993,3,6,362, -50.000, 12.5000, 93105.594, 0
1741523962.3306956,2025-03-09-12-39-22, 52.6687851,-1.5250410,168.3730011,3,6,362, -53.000, 15.2500, 93080.406, 0
1741523962.4814851,2025-03-09-12-39-22, 52.6687889,-1.5250424,168.5359955,3,6,362, -53.000, 12.7500, 93080.406, 0
1741523962.587771,2025-03-09-12-39-22, 52.6687889,-1.5250435,168.6360016,3,6,362, -49.000, 13.0000, 93080.406, 0
1741523962.8471699,2025-03-09-12-39-22, 52.6687889,-1.5250446,168.6940002,3,6,362, -54.000, 12.5000, 93105.594, 0
1741523963.1073103,2025-03-09-12-39-23, 52.6687889,-1.5250454,168.8730011,3,6,362, -52.000, 14.2500, 93080.406, 0
1741523963.440833,2025-03-09-12-39-23, 52.6687889,-1.5250473,168.9779968,3,6,362, -62.000, 13.5000, 93055.219, 0
1741523963.6266942,2025-03-09-12-39-23, 52.6687889,-1.5250505,169.2200012,3,6,362, -57.000, 12.5000, 93055.219, 0
1741523963.9632218,2025-03-09-12-39-23, 52.6687927,-1.5250528,169.4389954,3,6,362, -65.000, 14.5000, 93055.219, 0
1741523964.1756015,2025-03-09-12-39-24, 52.6687927,-1.5250547,169.5879974,3,6,362, -70.000, 12.5000, 93055.219, 0
1741523964.42757,2025-03-09-12-39-24, 52.6687927,-1.5250535,169.5350037,3,6,362, -59.000, 13.2500, 93030.031, 0
1741523964.604848,2025-03-09-12-39-24, 52.6687927,-1.5250041,167.3339996,3,6,362, -64.000, 12.2500, 93030.031, 0
1741523964.9554582,2025-03-09-12-39-24, 52.6687927,-1.5249780,166.1549988,3,6,362, -55.000, 13.5000, 92979.656, 0
1741523965.1093774,2025-03-09-12-39-25, 52.6687927,-1.5249614,165.4570007,3,6,362, -53.000, 12.5000, 92954.469, 0
1741523965.3653276,2025-03-09-12-39-25, 52.6687927,-1.5249490,164.8789978,3,5,362, -53.000, 12.7500, 92954.469, 0
1741523965.6313875,2025-03-09-12-39-25, 52.6687927,-1.5249395,164.4029999,3,5,362, -57.000, 13.0000, 92979.656, 0
1741523965.8765647,2025-03-09-12-39-25, 52.6687927,-1.5249321,164.1170044,3,5,362, -57.000, 13.0000, 92954.469, 0
1741523966.1508732,2025-03-09-12-39-26, 52.6687927,-1.5249285,163.8119965,3,5,362, -59.000, 13.7500, 92929.281, 0
1741523966.472365,2025-03-09-12-39-26, 52.6687927,-1.5249240,163.5959930,3,5,362, -61.000, 13.5000, 92904.094, 0
1741523966.6625574,2025-03-09-12-39-26, 52.6687927,-1.5249209,163.6439972,3,5,362, -60.000, 12.7500, 92904.094, 0
1741523966.9257503,2025-03-09-12-39-26, 52.6687965,-1.5249180,163.7570038,3,5,362, -55.000, 14.7500, 92878.906, 0
1741523967.131466,2025-03-09-12-39-27, 52.6688004,-1.5249144,163.9799957,3,5,362, -57.000, 9.7500, 92878.906, 0
1741523967.3815055,2025-03-09-12-39-27, 52.6688042,-1.5249096,163.9709930,3,6,362, -60.000, 12.5000, 92878.906, 0
1741523967.6152172,2025-03-09-12-39-27, 52.6688042,-1.5249040,163.9019928,3,6,362, -66.000, 12.7500, 92853.719, 0
1741523967.84666,2025-03-09-12-39-27, 52.6688042,-1.5249019,163.8730011,3,5,362, -61.000, 12.5000, 92853.719, 0
1741523968.171507,2025-03-09-12-39-28, 52.6688042,-1.5249039,163.9129944,3,5,362, -59.000, 14.0000, 92904.094, 0
1741523968.3644998,2025-03-09-12-39-28, 52.6688042,-1.5249045,164.0110016,3,5,362, -59.000, 14.0000, 92878.906, 0
1741523968.6276898,2025-03-09-12-39-28, 52.6688042,-1.5249040,163.9219971,3,5,362, -72.000, 14.0000, 92853.719, 0
1741523968.9277587,2025-03-09-12-39-28, 52.6688042,-1.5248996,163.7030029,3,5,362, -55.000, 13.2500, 92853.719, 0
1741523969.0798645,2025-03-09-12-39-29, 52.6688042,-1.5248965,163.3710022,3,4,362, -56.000, 12.7500, 92853.719, 0
1741523969.4567752,2025-03-09-12-39-29, 52.6688004,-1.5248961,163.1470032,3,4,362, -50.000, 13.0000, 92803.344, 0
1741523969.647703,2025-03-09-12-39-29, 52.6688004,-1.5248952,162.9479980,3,4,362, -49.000, 12.5000, 92752.969, 0
1741523969.9074333,2025-03-09-12-39-29, 52.6688004,-1.5248958,162.7910004,3,5,362, -55.000, 14.5000, 92727.781, 0
1741523970.143371,2025-03-09-12-39-30, 52.6687965,-1.5248973,162.7279968,3,5,362, -52.000, 15.0000, 92677.406, 0
1741523970.4038212,2025-03-09-12-39-30, 52.6687927,-1.5248984,162.4839935,3,5,362, -55.000, 13.5000, 92652.219, 0
1741523970.604211,2025-03-09-12-39-30, 52.6687927,-1.5249012,162.3229980,3,5,362, -57.000, 12.0000, 94264.219, 0
1741523970.8585532,2025-03-09-12-39-30, 52.6687927,-1.5249010,162.2030029,3,5,362, -54.000, 14.0000, 92652.219, 0
1741523971.127876,2025-03-09-12-39-31, 52.6687889,-1.5248986,161.9620056,3,5,362, -56.000, 15.0000, 92627.031, 0
1741523971.372938,2025-03-09-12-39-31, 52.6687889,-1.5248967,161.7879944,3,5,362, -58.000, 13.2500, 92601.844, 0
1741523971.6869411,2025-03-09-12-39-31, 52.6687889,-1.5248971,161.6540070,3,6,362, -65.000, 14.0000, 92576.656, 0
1741523971.9066746,2025-03-09-12-39-31, 52.6687889,-1.5248983,161.4940033,3,6,362, -60.000, 10.7500, 92324.781, 0
1741523972.10212,2025-03-09-12-39-32, 52.6687889,-1.5248991,161.5460052,3,6,362, -54.000, 12.5000, 92551.469, 0
1741523972.390376,2025-03-09-12-39-32, 52.6687889,-1.5249006,161.4750061,3,6,362, -55.000, 14.5000, 92576.656, 0
1741523972.6249902,2025-03-09-12-39-32, 52.6687889,-1.5249031,161.3370056,3,6,362, -63.000, 12.7500, 92551.469, 0
1741523972.9757302,2025-03-09-12-39-32, 52.6687889,-1.5249047,161.2019958,3,6,362, -57.000, 12.7500, 92551.469, 0
